iter	Passed	Remaining
0	24	8378
1	46	8166
2	68	7868
3	90	7858
4	114	7891
5	136	7852
6	160	7861
7	185	7925
8	209	7928
9	232	7910
10	258	7958
11	281	7940
12	306	7943
13	328	7875
14	354	7910
15	379	7918
16	405	7936
17	428	7898
18	447	7800
19	468	7734
20	491	7694
21	512	7642
22	534	7602
23	556	7561
24	578	7520
25	600	7487
26	623	7458
27	644	7410
28	664	7350
29	683	7294
30	704	7248
31	726	7218
32	746	7168
33	766	7125
34	787	7091
35	810	7070
36	835	7068
37	860	7067
38	883	7046
39	904	7013
40	926	6980
41	948	6954
42	971	6937
43	996	6933
44	1017	6895
45	1036	6851
46	1058	6821
47	1077	6778
48	1096	6733
49	1117	6705
50	1137	6670
51	1159	6645
52	1177	6599
53	1194	6550
54	1220	6545
55	1238	6503
56	1258	6470
57	1278	6438
58	1301	6419
59	1324	6399
60	1345	6376
61	1365	6342
62	1385	6311
63	1413	6316
64	1438	6306
65	1465	6304
66	1490	6296
67	1513	6274
68	1534	6250
69	1558	6233
70	1579	6205
71	1603	6190
72	1627	6176
73	1651	6159
74	1672	6132
75	1693	6104
76	1712	6070
77	1733	6043
78	1753	6013
79	1772	5981
80	1791	5950
81	1815	5933
82	1835	5903
83	1854	5871
84	1872	5839
85	1891	5807
86	1912	5782
87	1933	5755
88	1953	5729
89	1976	5710
90	1998	5687
91	2018	5660
92	2037	5631
93	2056	5600
94	2075	5572
95	2097	5550
96	2117	5522
97	2142	5510
98	2162	5483
99	2183	5458
100	2204	5435
101	2224	5409
102	2245	5385
103	2268	5366
104	2294	5354
105	2317	5335
106	2339	5312
107	2358	5283
108	2378	5259
109	2397	5231
110	2416	5204
111	2439	5184
112	2460	5160
113	2478	5131
114	2499	5106
115	2517	5078
116	2535	5049
117	2556	5026
118	2577	5004
119	2599	4981
120	2620	4960
121	2640	4934
122	2659	4908
123	2678	4882
124	2699	4859
125	2722	4839
126	2745	4821
127	2764	4795
128	2784	4770
129	2802	4742
130	2819	4713
131	2839	4689
132	2857	4662
133	2875	4634
134	2893	4608
135	2913	4583
136	2933	4560
137	2954	4538
138	2974	4515
139	2998	4497
140	3018	4474
141	3038	4451
142	3058	4427
143	3077	4403
144	3098	4381
145	3116	4355
146	3136	4331
147	3154	4305
148	3172	4279
149	3193	4257
150	3216	4239
151	3240	4220
152	3260	4198
153	3281	4176
154	3301	4152
155	3320	4128
156	3337	4102
157	3356	4078
158	3375	4055
159	3397	4034
160	3420	4015
161	3443	3995
162	3464	3974
163	3482	3949
164	3501	3925
165	3522	3904
166	3543	3883
167	3563	3860
168	3584	3839
169	3606	3818
170	3626	3795
171	3647	3774
172	3667	3752
173	3691	3734
174	3717	3717
175	3738	3695
176	3756	3671
177	3773	3646
178	3793	3623
179	3812	3601
180	3832	3578
181	3849	3553
182	3869	3531
183	3887	3507
184	3907	3484
185	3927	3463
186	3946	3439
187	3964	3416
188	3984	3394
189	4003	3371
190	4021	3347
191	4039	3324
192	4058	3301
193	4077	3278
194	4092	3253
195	4109	3229
196	4131	3208
197	4159	3193
198	4178	3170
199	4198	3148
200	4215	3125
201	4233	3101
202	4253	3080
203	4272	3057
204	4293	3036
205	4312	3014
206	4331	2992
207	4348	2968
208	4368	2947
209	4388	2925
210	4408	2903
211	4425	2880
212	4443	2858
213	4463	2836
214	4482	2814
215	4502	2793
216	4523	2772
217	4543	2751
218	4567	2731
219	4587	2710
220	4612	2692
221	4635	2672
222	4661	2654
223	4681	2633
224	4703	2612
225	4722	2591
226	4741	2569
227	4760	2547
228	4778	2524
229	4796	2502
230	4814	2480
231	4832	2458
232	4853	2436
233	4872	2415
234	4893	2394
235	4914	2373
236	4931	2351
237	4949	2329
238	4967	2307
239	4987	2285
240	5005	2263
241	5023	2241
242	5041	2219
243	5058	2197
244	5080	2177
245	5099	2155
246	5117	2133
247	5138	2113
248	5158	2092
249	5176	2070
250	5193	2048
251	5216	2028
252	5235	2007
253	5253	1985
254	5271	1963
255	5289	1942
256	5307	1920
257	5324	1898
258	5342	1877
259	5359	1855
260	5378	1833
261	5398	1813
262	5415	1791
263	5435	1770
264	5456	1750
265	5475	1729
266	5494	1708
267	5514	1687
268	5532	1666
269	5552	1645
270	5572	1624
271	5593	1603
272	5612	1582
273	5629	1561
274	5644	1539
275	5666	1519
276	5686	1498
277	5706	1477
278	5725	1457
279	5746	1436
280	5765	1415
281	5786	1395
282	5806	1374
283	5825	1353
284	5847	1333
285	5868	1313
286	5888	1292
287	5911	1272
288	5932	1252
289	5952	1231
290	5974	1211
291	5996	1191
292	6020	1171
293	6049	1152
294	6070	1131
295	6090	1111
296	6114	1091
297	6135	1070
298	6157	1050
299	6180	1030
300	6196	1008
301	6221	988
302	6245	968
303	6265	947
304	6285	927
305	6306	906
306	6328	886
307	6350	865
308	6375	845
309	6395	825
310	6418	804
311	6439	784
312	6462	763
313	6489	743
314	6513	723
315	6536	703
316	6555	682
317	6579	662
318	6601	641
319	6628	621
320	6651	600
321	6673	580
322	6697	559
323	6721	539
324	6742	518
325	6763	497
326	6789	477
327	6812	456
328	6835	436
329	6858	415
330	6879	394
331	6899	374
332	6920	353
333	6943	332
334	6966	311
335	6990	291
336	7012	270
337	7035	249
338	7055	228
339	7078	208
340	7102	187
341	7124	166
342	7150	145
343	7171	125
344	7193	104
345	7215	83
346	7235	62
347	7255	41
348	7274	20
349	7293	0
